rp_id,x,y,ten,nhom,thu_muc_anh,mo_ta,mo_ta_chi_tiet,source,note
RP01,-16.0,0.0,"TV3,4","TV3,4",tv3_4,Phòng máy tính TV3 và TV4.,"Phòng máy tính TV3 và TV4 với hệ thống trang thiết bị hiện đại, phòng học được trang bị các bộ máy tính được kết nối Internet chất lượng cao. Phòng học đáp ứng được các nhu cầu về học tập và làm việc một cách ổn định và mượt mà.",CTK45_Bang4_tr46,
RP02,0.0,0.0,Cửa ra vào,Cửa ra vào,cua_ra_vao,Cửa ra vào thư viện,"Cửa ra vào thư viện gồm 2 cửa là cửa chính ở trước thư viện và cửa sau dẫn ra bãi đỗ xe cổng sau, thuận tiện cho việc di chuyển và đảm bảo an ninh.",CTK45_Bang4_tr46,
RP03,16.0,0.0,Hội trường thư viện,Hội trường thư viện,hoi_truong_thu_vien,"Phòng Hội trường thư viện, không gian rộng lớn, hiện đại.","Hội trường thư viện có không gian rộng lớn, hiện đại, số lượng ghế ngồi rộng lớn với khoảng 300 chỗ. Phòng phù hợp cho các buổi hội thảo, các cuộc họp và sự kiện quan trọng.",CTK45_Bang4_tr46,
RP04,-30.0,10.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP05,-8.0,10.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP06,8.0,10.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP07,30.0,10.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_combined_data,Bang4_tr46 ghi y=0 - sai. RP04 RP05 RP06 cung hang deu y=10
RP08,-30.0,14.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP09,30.0,14.0,Căn tin,Căn tin,can_tin,"Căn tin hiện đại, cung cấp nhiều loại mặt hàng.","Căn tin hiện đại, đa dạng về các loại mặt hàng, cung cấp nhiều loại đồ ăn và thức uống. Khu vực có thể đáp ứng các nhu cầu ăn uống, mua sắm các vật dụng hỗ trợ cho cả sinh viên và cán bộ giảng viên.",CTK45_Bang4_tr46,
RP10,-15.0,18.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP11,0.0,18.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP12,-26.0,22.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
